title,company name,location,city,country,type,level,experience,skills,Description,Requirements,Image link
AI/ML,SURE International Technology,,Cairo,Egypt,['Full Time'],Manager,· 5+ Yrs of Exp,"['IT/Software Development', 'Operations/Management', 'Engineering - Telecom/Technology', 'Computer Science', 'Python', 'Artificial Intelligence', 'AI', 'Machine Learning', 'Engineering', 'Azure']","Lead, mentor, and advise the ML team members.
Identify the most effective architectures and models to solve complex data problems.
Research and implement appropriate ML algorithms and tools using deep learning and artificial neural networks.
Designing AI/ML pipelines.
Extend existing ML libraries and frameworks.
The document, summarize and present findings to a group of peers and stakeholders across multiple projects.","Bachelor’s degree in Statistics, Computer Science, or in an Engineering or Sciences discipline or related degree
At least 5 years experience in analytics, data science, ML Engineering
At least 1-2 years of experience leading, mentoring, and developing either Machine Learning, Data Science, or Analytics practitioners.
Experience with building and deploying a range of deep learning models into production
Experience with Cloud Services - Amazon Web Services (AWS)
Highly proficient in ML and Deep learning algorithms with a hands-on project.
Strong experience working with big data tools: Hadoop, Spark, Kafka, etc.
Extensive Python experience required.
Experience with Agile tools like Jira.
Able to communicate technical issues with technical & non-technical stakeholders.
Ability to quickly prototype ideas and solve complex problems by adapting creative approaches,",https://images.wuzzuf-data.net/files/company_logo/SURE-International-Technology-Egypt-21250-1516284267-sm.jpg
Senior Machine learning Engineer,Botit,Abdeen, Cairo,Egypt,['Full Time'],Experienced,· 3 - 7 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Machine Learning', 'Python', 'NLP', 'Software', 'Research', 'Git', 'Algorithms', 'Statistics']","As a part of the AI team, the candidate will participate in BOTH machine learning research and software development activities, working on data preprocessing, building, tuning, training and evaluating machine learning and deep learning models for NLU, NLP and recommendation systems. 
He/She will go through all the stages of the software development lifecycle including design, documentation, implementation, testing and deployment.

 ","Experience in using version control systems (eg. GIT)
  Good understanding of software development life cycle
  Experience using python is preferred
  Hands-on experience in data preprocessing, model building, training and evaluation
  Experience with NLP is preferred
  Familiarity with chatbots is a plus
  Good understanding of data structures, data modeling and software architecture
  Deep knowledge of math, probability, statistics and algorithms
  Experience in understanding and implementing SOTA techniques research papers
  Experience in web-based applications is preferred",https://images.wuzzuf-data.net/files/company_logo/Botit-Egypt-46033-1581409220-sm.png
ML Engineer,TensorGraph,Maadi, Cairo,Egypt,"['Part Time', 'Freelance']",Entry Level,· 1+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'AI', 'Computer Science', 'NLP', 'ML', 'Machine Learning', 'Information Technology (IT)', 'Python']","TensorGraph is looking for an “ML Engineer - Recommendation System” who is passionate about personalizing ML models, recommender systems, and disciplines. Also will help in conversational AI and language understanding models. 
Build and Improve the existing recommendation system
Design and implement the new approaches in recommendation systems
Set the System evaluation KPIs and Golden data
Analysis the historical data to choose the right approach","BA in Computer Science and similar fields
has 1+ years in recommendations systems
Have a strong background in machine learning, with experience and expertise in personalized machine learning algorithms, especially recommender systems
Nice to have experience in Conversational AI Models and working with Language understanding Models.
Experience with python, Nodejs
Experience with ML frameworks and libraries
Ability to write “Robust and testable codes.”
Statistical Analysis",https://images.wuzzuf-data.net/files/company_logo/TensorGraph-Egypt-32724-1636296196-sm.png
Senior Computer Vision Engineer,wobot.ai,,New Delhi,India,"['Full Time', 'Work From Home']",Senior Management,· 3 - 6 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'TensorFlow', 'Python', 'PyTorch', 'CNN', 'yolo', 'Computer Vision', 'Deep Learning', 'Video Intelligence']","Description:
This is a senior role where you will be responsible for leading a team of computer vision developers and work on the below mentioned roles and responsibilities.
Roles and Responsibilities:
Analyze and Improve the Existing Data, Training & Inference Architecture for existing Use-Cases.
Pioneer Novel Algorithms for new use-cases to develop an elegant and robust solution to solve problem statements using Computer Vision.
Work on Model Optimization to improve Performance & Throughput for the same.
Work on Various SOTA Dataset Augmentation & Dataset Generation Techniques that help improve model accuracy & precision.
Work on development & improvement of End-to-End Pipeline use-cases running at scale.
Work with the existing teams to set up a re-training pipeline that iteratively improves existing model accuracy based on in-coming datasets.

How we work?
Microsoft Teams is our go to tool for daily communication
We conduct daily standups and team meetings over Teams
We encourage open discussion and debate, and place tremendous value on ownership and founder mindset.
We value: design + amazing UI/UX, documentation, To-Do lists and Data based decision.
We're distributed but not alone! We might be working around the world but we believe in the value in getting to know each other outside of working hours
We get together for a bi-weekly townhall and frequent destressing session with a certified healer!
Perks and Benefits:
100% remote workplace model
Health Insurance of Rs. 3L
Top performers eligible for attractive equity options
Mental Health Consultations with heyy app.
Company sponsored upskilling courses
Growth Hours: 40 hours every year
The chance to give back with 40 hours for community causes
Fun company retreats twice a year
Access to a Financial Advisor","Requirements:
Proficient with Training of Detection/Classification/Segmentation Models with Tensorflow/PyTorch
Good Theoretical and Practical Knowledge with the fundamentals of Deep Learning, eg. CNNs, Regularization Techniques, etc.
Proficient in developing Deep Learning Model Pipelines
Deployment of Deep Learning Models at Scale for live processing of video feeds (RTSP).
Experience with Model Servers: Triton Inference Server (Preferred), TensorFlow Serving, or Torch Serve.
Experience in working with Model Optimization for  Nvidia Hardware (TensorRT Conversion of both Tensorflow & Pytorch models)
Experience with both Cloud as well as Edge Deployment of Deep Learning Models (Preferably at Scale).
Experience in FP16/Mixed Precision and INT8 Optimized Inference on Nvidia Hardware
Experience with using Docker, Nvidia-Docker, Nvidia NGC containers for Computer Vision/Deep Learning.
Proficient in Data Structures & Algorithms
Proficient understanding of code versioning tools, such as (Git / Mercurial / SVN)
Experience with common front-end development tools such as Babel, Webpack, NPM, etc.
Knowledge of a state management library such as Redux, etc.

Good to have
Experience with Scalable Cloud Deployment Architecture for Video Analytics (Involving Kubernetes and/or Kafka)
Experience in INT8 Training (Quantization Aware Training)
Experience/Knowledge of TensorFloat32 and BFloat16 Training/Inference",https://images.wuzzuf-data.net/files/company_logo/1396562030633536251cd78-sm.png
Senior/Mid Senior Deep Learning Engineer,Confidential,Mokattam, Cairo,Egypt,['Full Time'],Experienced,· 4+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Artificial Intelligence', 'Computer Science', 'Deep Learning', 'Design', 'Information Technology (IT)', 'Machine Learning', 'Python', 'Software Engineering']","Reviewing, replicating, and mapping research papers when needed
Staying up to date with state-of-the-art deep learning tools and papers on application adopted by the company
Applying and ensuring best practices in terms of deep learning code reproducibility, automation, deployment, and maintainability
Applying and ensuring best practices in terms of data collection, storage, and pre-processing
Continuously reviewing and optimizing existing models and pipelines","Completed Master’s degree or higher in Artificial Intelligence, Computer Science or similar
Significant (4+ years) industry experience bringing large-scale deep learning models into production (at a senior level) - Experience in MLOps is a must
Experience with dealing with real-world, noisy and often limited datasets
Strong fundamentals in probability theory, information theory, statistics, linear algebra, computer science, data structures, code optimization and algorithms
Deep familiarity/experience with Python, PyTorch/TensorFlow/ transformers (hugging face), pandas, numpy, etc.; embodied in Published paper implementations, Open Source Contributions, Github Projects, etc.
Functional design, and/or translating of a functional design into a solution
Results-oriented, proactive and decisive
Strong communication and ownership skills
A curious, creative, and analytical mindset","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAFQAAABUCAMAAAArteDzAAAAulBMVEUAAAC/v7+/v7+vv8+vt8exvsu1usqzvcuyu8izu8izu8ezusizvMm0vMiyusqzusmzu8q0u8iyu8iyusizu8mzusiyvMmzvMq0usmzusmyvMi0u8mzu8q0u8mzvMmzu8m0usqzu8q0u8izu8mzvMmzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8qzu8mzu8mzu8mzvMmzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8n///+qvQnLAAAAPHRSTlMABAgQICcwNjg8QEpQWGBkZXB0foCCiJScoKOmrLCyuLq/xM7Q09bZ4OHi5OXn6Ozu8PHy8/T29/r7/f6LHBTRAAAAAWJLR0Q90G1RWQAAAcpJREFUWMPtmFtPwkAYRBHWokUrrXipWuSmVLxWsIJ+//93earZB9FtSqhoZOdhhgnkEFiaASoVKyur1WunhXZKhoaCQgstSVsuOs+g59mtrVKgsXxSbKF/DqrEKLUm0JckSZ5IIiGeiJeloQPSJauVSpVwqYM1gl4qpXbJTaU2iV3q5d88/aHjOHtk3XHqxB51aE9/Oeg0juM78iqOr4g76nRp6I3v+0dk4PsBcUS9WQCq3M+q5b/82tzDv3+a1txH0c2HunMPb/029CEMw2z0T8LwJJt+6sNi0E4URTO5xfsa+kjpke0oahM96qOG9im3MsM7OdDszU4kwr0iL9+jRJJ8fE7+ATTwPC+VPn6soSPKIdn0vCZxSB1p6DGlLyke5EDH7+s2w1MNNQ4f0JQye79rbA/KBN1m1sbSwQMNNQ4f0IDSkTG+vdhlahy+wpdpg1mbSBff11Dj8AHdp3Rlgjfs6Zug18zaq6T4vYYahw/oPSWVV/w6B3rArD3LBX6qocbhA3pKuZBn/MAelAl6xqxNZYT3igxfjzKSKX626svUQtcW+vX7adU1qlrw+2n52lAlaKP4j7viUquA1lolqGb/Eray+gG9ASKwq1bDF0K7AAAAAElFTkSuQmCC"
Data Scientist,Confidential,,Riyadh,Saudi Arabia,['Full Time'],Experienced,· 2 - 4 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Computer Science', 'Data Science', 'Hadoop', 'Information Technology (IT)', 'Machine Learning', 'Naive Bayes', 'Programming']","Selecting features, building, and optimizing models using machine learning
techniques
Data mining using state-of-the-art methods
Enhancing data collection procedures to include information that is relevant for
building analytic systems
Processing, cleansing, and verifying the integrity of data used for analysis
Doing ad-hoc analysis and presenting results in a clear manner
Creating automated anomaly detection systems and constant tracking of its
performance
Provide clear insights that help define strategy, and facilitate speed and accuracy of
decision-making, and ultimately make a positive impact on the business.
Work in the opportunity, investigate, and explore phases of product development to
identify the biggest and most valuable consumer needs and motivations
Have a strong toolkit for quantitative and qualitative methods to apply in problem-
solving
Translate business questions into learning plans and then lead, develop, design and
conduct primary research studies to enable the synthesis of data to develop insights.
Ensure effective communication of market data, including synthesizing them into
insights for action
Manage third-party vendors to ensure learning objectives are met, and quality research
standards are maintained
Find opportunities to develop and champion the use of new research methods to
address unique research challenges and evolving trends
Remain abreast of best practices within the discipline and research methods
employed, including the latest evolution of approaches as the industry develops
Coordinate multiple tasks simultaneously, meeting deadlines and working
productively and efficiently under pressure","Strong applied mathematical and statistical skills regardless of the tools.
Excellent written and verbal communication skills for coordinating across teams.
Knowledge of a variety of machine learning techniques (clustering, decision tree
learning, artificial neural networks, etc.) and their real-world advantages/drawbacks
Data-oriented personality.
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Good understanding of data mart schemas, and OLAP tools.
Good understanding of data visualization concepts and tools.
Good understanding of using query languages such as SQL.
Broad understanding of databases (e.g. Oracle PL/SQL, Mongo), and high-
the performance or distributed processing (e.g. Hadoop, Spark)
Deep understanding of probability, statistics and machine learning theory.
Experience with Python, Machine learning libraries, and data mining.
Good scripting and programming skills Python, R Data-oriented personality.
Must have a good understanding of machine/deep learning techniques and algorithms
(SVM, Naive Bayes, Decision Forests, Neural Networks, etc.)
Applied experience with machine learning on large datasets.
Demonstrated skills in selecting the right statistical tools given a data analysis
problem.
Experience with statistical software (e.g., R, Julia, MATLAB, pandas) and database
languages (e.g., SQL).
Advanced level in Microsoft Excel
Build, test and deliver new analytics/models using the new data sets as required to
underpin use case.
Excellent understanding of machine learning techniques and algorithms such as k-
NN, Naive Bayes, SVM, Decision Forests, etc. Experience with common data science
toolkits.","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAFQAAABUCAMAAAArteDzAAAAulBMVEUAAAC/v7+/v7+vv8+vt8exvsu1usqzvcuyu8izu8izu8ezusizvMm0vMiyusqzusmzu8q0u8iyu8iyusizu8mzusiyvMmzvMq0usmzusmyvMi0u8mzu8q0u8mzvMmzu8m0usqzu8q0u8izu8mzvMmzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8qzu8mzu8mzu8mzvMmzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8n///+qvQnLAAAAPHRSTlMABAgQICcwNjg8QEpQWGBkZXB0foCCiJScoKOmrLCyuLq/xM7Q09bZ4OHi5OXn6Ozu8PHy8/T29/r7/f6LHBTRAAAAAWJLR0Q90G1RWQAAAcpJREFUWMPtmFtPwkAYRBHWokUrrXipWuSmVLxWsIJ+//93earZB9FtSqhoZOdhhgnkEFiaASoVKyur1WunhXZKhoaCQgstSVsuOs+g59mtrVKgsXxSbKF/DqrEKLUm0JckSZ5IIiGeiJeloQPSJauVSpVwqYM1gl4qpXbJTaU2iV3q5d88/aHjOHtk3XHqxB51aE9/Oeg0juM78iqOr4g76nRp6I3v+0dk4PsBcUS9WQCq3M+q5b/82tzDv3+a1txH0c2HunMPb/029CEMw2z0T8LwJJt+6sNi0E4URTO5xfsa+kjpke0oahM96qOG9im3MsM7OdDszU4kwr0iL9+jRJJ8fE7+ATTwPC+VPn6soSPKIdn0vCZxSB1p6DGlLyke5EDH7+s2w1MNNQ4f0JQye79rbA/KBN1m1sbSwQMNNQ4f0IDSkTG+vdhlahy+wpdpg1mbSBff11Dj8AHdp3Rlgjfs6Zug18zaq6T4vYYahw/oPSWVV/w6B3rArD3LBX6qocbhA3pKuZBn/MAelAl6xqxNZYT3igxfjzKSKX626svUQtcW+vX7adU1qlrw+2n52lAlaKP4j7viUquA1lolqGb/Eray+gG9ASKwq1bDF0K7AAAAAElFTkSuQmCC"
Senior Data Scientist,BBI-Consultancy,Nasr City, Cairo,Egypt,['Full Time'],Experienced,· 3 - 5 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Computer Science', 'Data', 'Data Science', 'data scientist', 'Information Technology (IT)', 'Python', 'Statistics']","Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Collaborate with engineering and product development teams","BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred.
3-5 Years of proven experience as a Data Scientist.
Experience in DataRobot or any similar tool
Experience in data mining
Understanding of machine-learning and operations research
Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset
Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)
Analytical mind and business acumen
Strong math skills (e.g. statistics, algebra)
Problem-solving aptitude
Excellent communication and presentation skills",https://images.wuzzuf-data.net/files/company_logo/BBI-Consultancy-Egypt-1113-1518334605-sm.png
Senior Computer Vision Engineer,Atomica,,Cairo,Egypt,"['Full Time', 'Work From Home']",Experienced,· 4+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Engineering', 'Mathematics', 'Software Development', 'Software Engineering', 'C++', 'Git', 'Research', 'computer']","Atomica.ai is a US-based company that helps doctors provide the best patient care possible using the power of AI, Robotics, and 3D Printing.
Atomica is looking for Senior Computer Vision Engineers to join our growing AI team. You will design and create in-house algorithms and libraries to process medical images (DICOMs) and 3D models to recognize patient features and help automate manual tasks. You will also work with other engineers and data scientists allowing you to learn new skills.
Our teams are fully remote and are distributed among many locations, We meet physically as a group once every six weeks.
Responsibilities:
Maintain our computer vision libraries
  Explore and analyze medical images through image processing
  Implement various segmentation techniques
  Explore and analyze 3D models
  Research, develop, evaluate and optimize various computer vision and deep learning models for different problems
  Communicate with other teams to gather requirements
  Create unit tests, documentation, and examples for the maintained libraries","Bachelor's degree in the areas of Computer Science/Computer Engineering, Engineering or any other related fields
Good command of English
Technical skills:
At least 3 years of experience with C/C++
  At least 3 years of experience with Image Processing and Computer Vision
  Experience in Mathematics (linear algebra/statistics)
  Ability to implement and prototype research papers
  Familiarity with source control tools (git)
  Experience with any machine/deep learning frameworks like Tensorflow and PyTorch is a plus
  Experience with high-performance computing (vectorization, multi-threading) is a plus
Communication
Teamwork
Problem-solving
Time management
Flexibility & Adaptability",https://images.wuzzuf-data.net/files/company_logo/846721096621648c7862a0-sm.png
Data Scientist,Seoudi Supermarket,Sheikh Zayed, Giza,Egypt,['Full Time'],Entry Level,· 1 - 4 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Science', 'Programming', 'Machine Learning', 'Python', 'Data Analytics', 'Computer Science', 'Information Technology (IT)']","Analyze raw data: assessing quality, cleansing, structuring for downstream processing.
 Design accurate and scalable prediction algorithms.
 Collaborate with engineering team to bring analytical prototypes to production.
 Generate actionable insights for business improvements.

Work Conditions
Full-time job (On-site).
Location: Sheikh Zayed, Giza.
2 days off  (Friday and Saturday)","Bachelor's degree or equivalent experience in quantitative field (Statistics, Mathematics, Computer Science, Engineering, etc.)
 At least 1 - 4 years' of experience in quantitative analytics or data modeling.
 Deep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithms.
 Fluency in a programming language (Python, C,C++, Java, SQL).
 Familiarity with Big Data frameworks and visualization tools (Cassandra, Hadoop, Spark, Tableau).
 ",https://images.wuzzuf-data.net/files/company_logo/United-Grocers-Egypt-16038-1604501330-sm.png
Mechanical Production Engineer,ATA Electronics,6th of October, Giza,Egypt,['Full Time'],Entry Level,· 0 - 5 Yrs of Exp,"['Manufacturing/Production', 'Engineering - Mechanical/Electrical', 'AutoCAD', 'Engineering', 'English', 'Manufacturing', 'Mechanical', 'Mechanical Engineering', 'Microsoft Office', 'Production']","Responsible for achieving production plan for each production line in accordance to predetermined standards and product special controls
Work effectively with team members of all disciplines, working on increasing production capacity and decreasing waste and Proficiency in MS Office.
Cooperate and communicate effectively with production team
Follow up maintenance process to raise efficiency.
Reviewing the materials needed for the production process.
Reporting emergency equipment malfunctions.
Participate in the development of manufacturing processes by studying production requirements.
Fulfill any additional tasks as per job need.
Review product design for compliance with engineering principles, company standards and customer contract requirements, and related specifications.
Understand mold making, prototyping and product testing.","Experience 0 - to 5 years in metal forming and press machines.
Familiarity with various manufacturing methods (e.g., molding, welding, soldering, adhesives, machining, stamping, cables manufacturing, injection machines and forming.)
Bachelor’s degree in mechanical engineering is a must.
Good knowledge of Solid works, AutoCAD, CorelDraw, Sheet Metal and Microsoft office.
Very good command of English.
Learning & researching.
Decision making ability and leadership skills.",https://images.wuzzuf-data.net/files/company_logo/ATA-Electronics-Egypt-52018-1582633288-sm.jpg
